"","reactions","result"
"1","hexokinase",0.538068017101504
"2","G6P_isomerase",0.0866898282812439
"3","PFK",0.0866898282812439
"4","aldolase",0.0866898282812504
"5","GAPDH",0.0866898282812441
"6","PGK",0.0866898282812501
"7","PGM",0.396861389261392
"8","enolase",0.396861389261393
"9","pyr_kinase",1.68891219103788
"10","LDH",-0.41890929011883
"11","pyr_carboxylase",1.5673064672802
"12","pep_carboxykinase",1.46083814466515
"13","pyr_dehydrogenase",-0.548661433179846
"14","cit_synthase",-0.548661433179887
"15","aconitase",0.268005938535017
"16","IDH2_nadp",0.321811838335786
"17","IDH2_nad",-0.28833480804269
"18","AKG_dehydrogenase",-1.05156325070396
"19","SuCoA_synthase",-1.05156325070396
"20","Succ_dehydrogenase",-1.05156325070396
"21","fumarase",-1.49728739647227
"22","malate_dehydrogenase",-0.530388848950314
"23","malic_enzyme_NADP",-0.791677776156361
"24","malic_enzyme_NAD",1.15617194600137
"25","ASPTA",-1.84392634161561
"26","ALATA_L",-1.18753860999939
"27","GLUDxm",-1.04068779030349
"28","GLUDym",1.45148855187321
"29","Cit_lyase",-1.18753860999912
"30","FFAsynthesis",-1.18753860999916
"31","glutaminase",0.144518098350385
"32","gln_synthetase",-0.239290978258893
"33","CPS1",-1.39722759458025
"34","OTC",-1.80591751550425
"35","ASS",-1.80591751550424
"36","ASL",-1.80591751550422
"37","ARG1",0.356338766356249
"38","ORNTArm",-1.18753860999902
"39","G5SADrm",-1.18753860999893
"40","P5CRm",-1.47557888587523
"41","P5CRxm",-0.625302875767926
"42","ORNDC",1.01103896579579
"43","ATP_ADP",-0.223611393278289
"44","G6P_dehydrogenase",0.431245312560434
"45","gluconolactonase",0.431245312560413
"46","6PDG_dehydrogenase",0.431245312560411
"47","Ru5P_isomerase",0.43124531256042
"48","PRPPS",0.431245312560428
"49","SHMT1",0.00142501220568372
"50","MTHFD1",0.00142501220568372
"51","ser_synthesis",-0.583918286868562
"52","RESP1",-0.955703799685419
"53","RESP2",-1.05156325070398
"54","Hcys_synthesis",0.596042387953215
"55","CYSTS",0.596042387953213
"56","CYSTGL",0.596042387953186
"57","GLUCYS",1.30763161405854
"58","GTHS",1.74088044464968
"59","GTHP",1.1394265845081
"60","GTHO",-0.0902077570066572
"61","glutamyltrasferase",0.851687257711653
"62","asparagine_synthetase",-0.348666164892146
"63","CYSTA",1.61898565455602
"64","ASRGL1",-0.342804954239784
"65","CAD",-0.997891753324082
"66","SDS",-0.916920854580332
"67","GATM",-0.971163260991609
"68","EX_O2",1.32903331460788
"69","EX_Gln",-0.356052116139302
"70","EX_Glc",-0.538068017101498
"71","EX_Arg",-0.98669204823964
"72","EX_THF",-0.00142501220568078
"73","EX_Met",-0.596042387953224
"74","protein_synthesis",-1.18753860999914
"75","biomass_synthesis",-1.18753860999913
"76","DM_LACT",-0.41890929011883
"77","DM_H2O2",-1.48258550459622
"78","DM_NH3",0.817852503405085
"79","DM_Urea",0.356338766356249
"80","DM_PRPP",0.431245312560425
"81","DM_biomass",-1.18753860999914
"82","DM_Putrescine",1.01103896579578
"83","DM_forTHF",0.00142501220568372
"84","DM_GSSG",1.74088044464967
