"","reactions","result"
"1","hexokinase",1.25625225933178
"2","G6P_isomerase",1.81906801459597
"3","PFK",1.81906801459596
"4","aldolase",1.81906801459598
"5","GAPDH",1.81906801459598
"6","PGK",1.81906801459599
"7","PGM",0.820657356010451
"8","enolase",0.820657356010438
"9","pyr_kinase",-0.120803673313605
"10","LDH",2.55306965666661
"11","pyr_carboxylase",-0.0413045905038966
"12","pep_carboxykinase",-0.27120015695036
"13","pyr_dehydrogenase",-3.13016964547586
"14","cit_synthase",-3.13016964547618
"15","aconitase",-1.63352949594144
"16","IDH2_nadp",0.884334120287192
"17","IDH2_nad",-0.958692983656372
"18","AKG_dehydrogenase",0.838382859880806
"19","SuCoA_synthase",0.838382859880815
"20","Succ_dehydrogenase",0.838382859880775
"21","fumarase",-0.365780879325914
"22","malate_dehydrogenase",-0.328947782476828
"23","malic_enzyme_NADP",-1.09554738024067
"24","malic_enzyme_NAD",1.55655117086108
"25","ASPTA",-1.71833633440577
"26","ALATA_L",-0.790451419785968
"27","GLUDxm",0.809563677438233
"28","GLUDym",0.916870589806603
"29","Cit_lyase",-0.790451419786174
"30","FFAsynthesis",-0.790451419786157
"31","glutaminase",2.64941601444918
"32","gln_synthetase",3.00369870570217
"33","CPS1",-0.893174443457097
"34","OTC",-1.66884191693338
"35","ASS",-1.6688419169334
"36","ASL",-1.66884191693335
"37","ARG1",0.344917937497291
"38","ORNTArm",-0.790451419785439
"39","G5SADrm",-0.790451419785708
"40","P5CRm",-0.965597718871627
"41","P5CRxm",-1.16927702240555
"42","ORNDC",0.843039658509045
"43","ATP_ADP",0.345187935800194
"44","G6P_dehydrogenase",-0.725325252919074
"45","gluconolactonase",-0.725325252919044
"46","6PDG_dehydrogenase",-0.72532525291906
"47","Ru5P_isomerase",-0.725325252919051
"48","PRPPS",-0.725325252919007
"49","SHMT1",0.0377658938886627
"50","MTHFD1",0.0377658938886708
"51","ser_synthesis",0.600327492292888
"52","RESP1",-0.920581514985196
"53","RESP2",0.83838285988082
"54","Hcys_synthesis",0.250060196823692
"55","CYSTS",0.2500601968237
"56","CYSTGL",0.250060196823711
"57","GLUCYS",-0.905421639469252
"58","GTHS",0.853416989165862
"59","GTHP",-1.85318054868951
"60","GTHO",-2.84972941454024
"61","glutamyltrasferase",-1.16423000818129
"62","asparagine_synthetase",-1.30031352518422
"63","CYSTA",0.835440322375336
"64","ASRGL1",-1.29254295605698
"65","CAD",-1.30916067610536
"66","SDS",0.655793085189397
"67","GATM",-0.569258783300027
"68","EX_O2",0.343035462741626
"69","EX_Gln",-0.095534772018889
"70","EX_Glc",-1.25625225933177
"71","EX_Arg",-0.820334776962479
"72","EX_THF",-0.0377658938886712
"73","EX_Met",-0.250060196823672
"74","protein_synthesis",-0.790451419785932
"75","biomass_synthesis",-0.790451419786027
"76","DM_LACT",2.55306965666665
"77","DM_H2O2",1.34424845911749
"78","DM_NH3",1.18777421692904
"79","DM_Urea",0.344917937497296
"80","DM_PRPP",-0.72532525291896
"81","DM_biomass",-0.790451419786023
"82","DM_Putrescine",0.843039658509039
"83","DM_forTHF",0.037765893888674
"84","DM_GSSG",0.853416989165838
