"","reactions","result"
"1","EX_lac__L_e",1.90249634511895
"2","EX_glc__D_e",-0.262819383906728
"3","EX_gluIN__L_e",0.181679161931893
"4","EX_gluOUT__L_e",0.482309549650831
"5","EX_gln__L_e",-2.91900100037569
"6","EX_asp__L_e",-0.468913469776386
"7","EX_co2_e",-1.19240475526681
"8","EX_h_e",-0.0609342770109819
"9","EX_h2o_e",-0.653288444726919
"10","EX_ump_e",-2.01555867510004
"11","EX_pi_e",-2.27297903437202
"12","EX_nh4_e",0.0744972085310945
"13","EX_o2_e",-0.562678054749724
"14","EX_arg__L_e",1.65057292099649
"15","EX_pro__L_e",0.441391624363625
"16","EX_leu__L_e",-2.32748692428905
"17","EX_ile__L_e",-2.37841426554511
"18","EX_met__L_e",1.0170380922103
"19","EX_gly_e",1.42769186927832
"20","EX_phe__L_e",-1.84430072088217
"21","EX_ser__L_e",-2.24792466200718
"22","EX_ala__L_e",0.0957822331658228
"23","EX_ribflv_e",NA
"24","EX_asn__L_e",1.49555871931598
"25","EX_fol_e",0.684765754808857
"26","EX_urea_e",-1.66827148178801
"27","EX_pyr_e",1.90812532433703
"28","PYRt2",1.90812532433703
"29","EX_gudac_e",-0.275608858407984
"30","EX_hdca_e",-0.272221244039217
"31","EX_ptrcIN_e",-0.701630068206742
"32","EX_ptrcOUT_e",-0.92866526490726
"33","EX_biomassx",2.37841430703702
"34","EX_h2o2_e",-1.21336879748095
"35","EX_gthox_e",0.908291945425553
"36","EX_2obut_e",-1.07759799501715
"37","EX_crn_e",-1.34520788954825
"38","EX_val__L_e",-1.0862586494834
"39","EX_spmd_e",-0.576764746557864
"40","EX_sprm_e",0.670104307565297
"41","EX_5mthf_e",-0.684765754808857
"42","EX_tmlys_e",1.34520788954825
"43","EX_thbpt_e",0.603001542927308
"44","EX_CE2705_e",-0.603001542927308
"45","EX_crtn_e",-2.26048290228637
"46","EX_his__L_e",1.17099429496219
"47","EX_lys__L_e",0.730625304435002
"48","EX_carn_e",1.73644357884305
"49","EX_csn_e",-0.914544659303754
"50","EX_cys__L_e",-1.49314078932053
"51","EX_cyan_e",1.17168046933166
"52","EX_tcyntc",-1.96557626779993
"53","EX_tcynt_e",-0.440910679525751
"54","EX_so3_e",1.83055184036234
"55","EX_thr__L_e",0.855134567256147
"56","EX_trp__L_e",0.81165164262624
"57","EX_anth_e",0.443796265208053
"58","EX_tyr__L_e",-1.70005346738786
"59","EX_cystinex",-0.0609688581458549
"60","EX_3hydroxybutanoatex",-0.415582199413554
"61","EX_gthrd_e",-0.915498739918782
"62","EX_cmp_e",-0.687795290206928
"63","HEX1",0.7382539084853
"64","G6PP",0.931906965108307
"65","PGI",1.68556867546064
"66","PFK",-0.286236632429893
"67","FBP",-2.13821343137619
"68","FBA",0.860088892779989
"69","TPI",0.992580188913343
"70","GAPD",0.561575209288871
"71","PGK",1.19453614476583
"72","DPGM",-1.37038703371968
"73","DPGase",-1.37038703371968
"74","PGM",0.993221809156656
"75","ENO",0.993221809156656
"76","PYK",1.13442818628434
"77","LDH_L",1.90249634511895
"78","r0407",-0.352279909160472
"79","PRPPS",0.252325263744882
"80","G6PDH2r",-1.61673361732886
"81","PGL",-1.61673361732886
"82","GND",-1.61673361732886
"83","RPI",-1.51892958650574
"84","TKT2",-1.61002806100294
"85","RPE",-1.61002805798645
"86","TKT1",-1.61002806100294
"87","TALA",-0.101069535494516
"88","r0408",-0.352279909160472
"89","PDHm",-0.578280413620445
"90","PCm",-0.0246849841602555
"91","PEPCK_re",0.716932832144471
"92","CSm",-1.70229729325713
"93","ACONTm",1.55250925369994
"94","ICDHxm",1.40402122948618
"95","ICDHym",1.12979463833814
"96","AKGDm",1.32194825602488
"97","SUCOAS1m",0.914780381592332
"98","SUCD1m",1.07360622002659
"99","FUMm",-0.490970344387617
"100","MDHm",-2.03481653090946
"101","ME1m",-1.65670198626443
"102","ME2m",-1.4586588300135
"103","ME2",1.28952956134509
"104","ACITL",-0.956487541671252
"105","FUM",0.743143667782662
"106","MDH",2.51382796470157
"107","AKGMALtm",0.207820508291527
"108","ACONT",-1.54022003989861
"109","ICDHyr",-1.54022003989861
"110","PPA",-1.1549498463698
"111","Complex1ROS",-2.11806410438624
"112","FADH2ETC",1.13594311321126
"113","CYOR_u10mi",0.421135382124328
"114","CYOOm2i",0.421135381883063
"115","ATPS4mi",-0.500910239130877
"116","GLUCYS",-0.627551358025265
"117","GTHS",-0.627551358025265
"118","SPODMm",-2.11806407996274
"119","GTHPi",-0.875014951074789
"120","GTHPm",-1.76515120382018
"121","GDR",0.857686894794097
"122","GTHOr",0.758011553251029
"123","GDRm",-2.702824680016
"124","GTHOm",-2.71841968672111
"125","r0885",0.908291851219105
"126","PYRt2m",0.366961719142205
"127","HMR_4964",-1.61890761965033
"128","r2420",-0.602420217671316
"129","ATPtm",-0.490115678636747
"130","FUMtm",-0.838730385160197
"131","CO2tm",-1.2713912056366
"132","O2tm",0.346661610057767
"133","r0801",0.914780381592332
"134","THD1m",-0.606149436173778
"135","H2Otm",0.14048717488786
"136","NH4tm",-1.29501063497512
"137","HCO3E",-0.952893116730112
"138","HCO3Em",0.210694920462964
"139","GLUN",0.870858612964692
"140","GLNS",0.600906329659727
"141","GLUt2m",-2.25496449066069
"142","GLNtm_1",1.94947461641886
"143","GLUNm",1.94947461641886
"144","GLUPRT",2.37841379509937
"145","PRAGSr",2.37841379509937
"146","GARFT",2.37841379509937
"147","PRFGS",2.37841379509937
"148","PRAIS",2.37841379509937
"149","AIRCr",2.37841379509937
"150","PRASCSi",2.37841379509937
"151","ADSL2r",2.37841379509937
"152","AICART",2.37841379509937
"153","IMPC",2.37841379509937
"154","ADSS",2.37841478860622
"155","ADSL1r",2.37841478860622
"156","IMPDH2",2.37841349871346
"157","GMPS",0.443989860240235
"158","GMPS2",1.9606322503986
"159","GK1",2.37841349871346
"160","RNDR2",2.37840996744379
"161","ADK1",-1.16903473490877
"162","RNDR1",2.37841586732615
"163","CBPS",0.0969366622496518
"164","ASPCT",0.0969366622496518
"165","DHORTS",0.0969366622496518
"166","DHORD9",0.0969366622496518
"167","ORPT",0.0969366622496518
"168","OMPDC",0.0969366622496518
"169","UMPK",2.46446835992495
"170","RNDR4",1.31880620653103
"171","TMDS",1.31880620653103
"172","URIDK2r",1.31880620653103
"173","NDPK2",2.66165267766337
"174","NDPK3",-0.220793005048898
"175","CYTK1",-0.687795290206928
"176","CTPS1",1.78763768336083
"177","RNDR3",2.37841349884452
"178","GDHm",0.467233144925348
"179","GLUDym",0.0348387856724591
"180","ASPTA",-3.05721966324854
"181","ASPTAm",-2.90340025689712
"182","ASPGLUm",-3.60223190350808
"183","ASPT",1.2187444021698
"184","CBPSam",-0.257243781475381
"185","OCBTm",-0.257243781475381
"186","ORNt4m",-0.257243781475381
"187","ARGSS",-1.18166963528254
"188","ARGSL",-1.18166963528254
"189","ARGN",-1.66827148178801
"190","ORNDC",-1.74089966056199
"191","SPMS",-0.311103770948526
"192","SPRMS",0.670104307565297
"193","ADMDC",0.00805559907726677
"194","MTAP",0.00805559907726677
"195","ADPT",0.00805559907726677
"196","MTRI",0.00805559907726677
"197","MDRPD",0.00805559907726677
"198","DKMPPD",0.00805559907726677
"199","SPMDtex2",-0.576764746557864
"200","SPRMti",0.670104307565297
"201","GLYAMDTRc",-0.730136952113757
"202","ARGDr",-1.80566821638683
"203","r0074",-0.306203129498476
"204","GLU5SAtmc",-0.306203129498476
"205","G5SADs",-0.306203129498476
"206","PRO1x",1.32655322542313
"207","P5CR",-0.84715299754638
"208","PROD2",0.837176999692903
"209","EXRiboflavin",NA
"210","RBFK",NA
"211","FMNAT",NA
"212","TransportFAD",0.837176999692903
"213","ASNS1",0.275456031503783
"214","ASNN",1.61991969949292
"215","METS",-0.984904310925296
"216","METAT",-1.98513237453835
"217","HMR_3915",-0.352591978935855
"218","AHCi",-1.80317420018582
"219","ADNK1",-1.80317420018582
"220","CYSTS",-1.15679508759368
"221","CYSTGL",-1.15679508759368
"222","MTHFR3",-0.944411406416823
"223","MetSynthesis",0.80494788479018
"224","UNK3",-0.783952270615541
"225","5MTHFt",-0.684765754808857
"226","ILETA",NA
"227","3MOPt2im",NA
"228","ILETAm",NA
"229","LEUTA",-0.110011539177757
"230","4MOPt2im",-0.110011539177757
"231","LEUTAm",0.860756689776019
"232","OIVD1m",0.885980750790803
"233","ACOAD8m",0.885980750790803
"234","MCCCrm",0.885980750790803
"235","MGCHrm",0.885980750790803
"236","HMGCOAtm",2.28977111536252
"237","VALTA",0.534913625131375
"238","3MOBt2im",0.534913625131375
"239","VALTAim",0.532515795426606
"240","OIVD2m",1.03995826376776
"241","ACOAD9m",1.03995826376776
"242","ECOAH12m",1.03995826376776
"243","3HBCOAHLm",1.03995826376776
"244","HIBDm",1.03995826376776
"245","r0643",-0.822096149214337
"246","MMSAD1m",1.21576345996211
"247","MMTSADm",0.688764450856434
"248","PCC",1.29929126879269
"249","MMALH",-0.822096149214337
"250","MMEm",0.915080982731346
"251","MMMm",1.04961615019623
"252","ILEtmi",NA
"253","LEUt5m",0.860756689776019
"254","VALt5m",0.532515795426606
"255","PGCD",-1.11071036042349
"256","PSERT",-1.11071036042349
"257","PSP_L",-1.11071036042349
"258","GHMT2r",2.0732146638395
"259","SERD_L",-0.348600558306075
"260","ALATA_L",0.269833843191922
"261","r1435",-0.0478655508211794
"262","GLYtm",0.0478655508211794
"263","GHMT2rm",-0.0478655508211794
"264","MLTHFtm",-0.759032336174366
"265","r0962",0.759032336174366
"266","FORtm",-0.981776509372879
"267","r0514",0.759032336174366
"268","DHFRim",0.759032336174366
"269","FTHFLmi",0.981776509372879
"270","MTHFCm",0.981776509372879
"271","MTHFDm",0.981776509372879
"272","FOLR2",-0.893484310930163
"273","DHFR",-0.892230881066639
"274","FTHFLi",-2.50500312971336
"275","FTHFDH",-0.138119200135922
"276","MTHFC",-0.822234552190664
"277","MTHFD",-1.33128643343145
"278","MTHFD2i",0.835470731402956
"279","ACACT1r",0.45575559537338
"280","HMGCOAS",-0.0961284139583013
"281","HMGCOAR",2.37841439481581
"282","MEVK1",2.37841439481581
"283","PMEVK",2.37841439481581
"284","IPDDI",2.37841406215107
"285","DPMVD",2.37841439481581
"286","DMATT",2.37841406215107
"287","GRTT",2.37841406215107
"288","HMR_1465",2.37841357243622
"289","HMR_1467",2.37841357243622
"290","SMO",2.37841357243622
"291","LNSTLS",2.37841357243622
"292","HMR_1477",2.37841357243622
"293","HMR_1478",2.37841357243622
"294","HMR_1479",2.37841357243622
"295","C14STR",2.37841357243622
"296","HMR_1490",2.37841357243622
"297","HMR_1493",2.37841357243622
"298","HMR_1494",2.37841357243622
"299","C3STDH1",1.17399542551696
"300","HMR_1495",1.86269423475469
"301","HMR_1500",2.37841357243622
"302","HMR_1502",2.37841357243622
"303","HMR_1503",2.37841357243622
"304","HMR_1504",2.37841357243622
"305","HMR_1505",2.37841357243622
"306","HMR_1509",2.37841357243622
"307","CHLSTI_1",2.37841357243622
"308","HMR_1516",2.37841357243622
"309","RE2410C",2.37841357243622
"310","DSMSTOLR",2.37841357243622
"311","ACCOAC",-1.13813851883168
"312","FASN",-1.13813850876512
"313","MCAT",-1.13813851883168
"314","AcetoacetylACPsynthesis",-1.13813850876512
"315","r0691",-1.13813850876512
"316","r0681",-1.13813850876512
"317","r0682",-1.13813850876512
"318","r0760",-1.13813850876512
"319","r0761",-1.13813850876512
"320","r0762",-1.13813850876512
"321","r0763",-1.13813850876512
"322","r0764",-1.13813850876512
"323","r0694",-1.13813850876512
"324","r0695",-1.13813850876512
"325","r0765",-1.13813850876512
"326","r0766",-1.13813850876512
"327","r0692",-1.13813850876512
"328","r0693",-1.13813850876512
"329","r0767",-1.13813850876512
"330","r0768",-1.13813850876512
"331","r0769",-1.13813850876512
"332","r0770",-1.13813850876512
"333","r0712",-1.13813850876512
"334","r0713",-1.13813850876512
"335","r0701",-1.13813850876512
"336","r0702",-1.13813850876512
"337","r0771",-1.13813850876512
"338","r0772",-1.13813850876512
"339","r0696",-1.13813850876512
"340","r0697",-1.13813850876512
"341","r0773",-1.13813850876512
"342","FA160ACPH",-1.13813850876512
"343","TMLYStd",1.34520788954825
"344","TMLYSOX",-1.34520788954825
"345","GHMT3",-1.34520788954825
"346","TMABADH",-1.34520788954825
"347","BBHOX",-1.34520788954825
"348","SUCFUMtm",1.3452078739947
"349","palmitateActivation",-2.12775843709277
"350","carnitineAcylTransferaseI",-2.12775843709277
"351","CARN160t_m",-2.12775843709277
"352","carnitineAcylTransferaseII",-2.12775843709277
"353","betaOxidation",-2.12775843709277
"354","Biomass",2.37841430703702
"355","GLCt1",-0.262819383906728
"356","O2t",-0.562678054749724
"357","GLNt",-2.91900100037569
"358","r0963",0.684765754808857
"359","THBPTt",0.603001542927308
"360","ARGt5r",1.65057292099649
"361","PHEtec",-1.84430072088217
"362","ILEtec",-2.37841426554511
"363","LEUtec",-2.32748692428905
"364","VALtec",-1.0862586494834
"365","METtec",1.0170380922103
"366","r2526",-2.01977597411457
"367","GLYt4",1.42769186927832
"368","r2532",-1.49555871931598
"369","PROPAT4te",-0.441391624363625
"370","HDCAt",0.160617244154438
"371","CRNt",-1.34520788954825
"372","GTHRDt2",-0.915498739918782
"373","DmLact",1.90249634511895
"374","UREAt",-1.66827148178801
"375","DmBiomass",2.37841430703702
"376","NH4t",0.0744972085310945
"377","PTRCtex2",-0.691714939655378
"378","GUDACtr2",-0.275608858407984
"379","CE2705t",-0.603001542927308
"380","Dm2oxobutyrate",-1.07759799501715
"381","H2Ot",0.653288444726919
"382","PHLACHt",-0.206841520128061
"383","CO2t",-1.19240475526681
"384","DmH2O2",-1.21336879748095
"385","DmGSSG",0.908291945425553
"386","GLUt4",0.88550783301142
"387","ALAPAT4te",0.403847263841184
"388","DmAla",0.581345528173885
"389","ASPte",-0.33810630561319
"390","DmAsp",0.438951669971879
"391","DmPalm",0.156171954322176
"392","ATPM",0.354400495999026
"393","GACMTRc",-2.26048290228637
"394","CKc_cho",-2.26048290228637
"395","CRTNsyn_cho",-2.26048290228637
"396","CRTNtr",-2.26048290228637
"397","NDPK1",-0.713816732315116
"398","NDPK5",2.37840996744379
"399","NDPK8",2.37841586732615
"400","NDPK7",2.37841349884452
"401","DTMPK",2.37841571538587
"402","NDPK4",2.37841571538587
"403","HIStiDF",1.17099429496219
"404","PTRCOX1",-0.875014951074789
"405","ABUTD",-0.875014951074789
"406","r0465_1",-1.24060307272129
"407","ABUTH",-0.906468173401908
"408","GLUDC",-0.746403456850619
"409","HISDr",-3.23045621075399
"410","URCN",-3.23045621075399
"411","IZPN",-3.23045621075399
"412","GluForTx",-3.23045621075399
"413","FTCD",-3.23045621075399
"414","CARPEPT1tc",1.73644357884305
"415","NBAHH_ir",-0.992609777639543
"416","r0283",0.842527030593271
"417","ASP1DC",1.27250403049546
"418","CSNt",-0.914544659303754
"419","bAlaSynthesis",0.914544659303754
"420","LYSt5r",0.730625304435002
"421","LYStm",-1.48250735039214
"422","SACCD3m",-1.48250735039214
"423","r0525",-1.48250735039214
"424","AASAD3m",-1.48250735039214
"425","r0450",-1.48250735039214
"426","2OXOADOXm",-3.58748930116617
"427","GLUTCOADHm",-3.58748930116617
"428","3HBCDm",-3.58748930116617
"429","HACD1m",-3.58748930116617
"430","HMGCOASm",2.16509227881571
"431","CYStec",1.49314078932053
"432","CYSTA",-1.17168046933166
"433","CYANt",1.17168046933166
"434","MCPST",-1.17168046933166
"435","TCYNTt",-0.440910679525751
"436","CYSO",1.83055184036234
"437","3SALATAi",0.969675727266363
"438","3SALAASPm",0.813193401619075
"439","3SALATAim",0.813193401619075
"440","3SPYRSP",0.969675727266363
"441","3SPYRSPm",0.813193401619075
"442","HMR_3951",0.969675727266363
"443","ExSulfitem",0.813193401619075
"444","PHETHPTOX2",-0.603001542927308
"445","TYRt",-1.70005346738786
"446","TYRTA",-0.928837856577112
"447","34HPPOR",-0.928837856577112
"448","HGNTOR",-0.928837856577112
"449","MACACI",-0.928837856577112
"450","FUMAC",-0.928837856577112
"451","AACOAT",-0.928837856577112
"452","r2534",0.855134567256147
"453","THRD_L",-0.886309116341948
"454","OBDHc",2.28977111536252
"455","PPCOAtm",2.28977111536252
"456","r1616",0.81165164262624
"457","TRPO2",-0.823803183869173
"458","FKYNH",-0.823803183869173
"459","KYN",0.443796265208053
"460","ANTHte",0.443796265208053
"461","KYN3OX",-3.21409911279428
"462","HKYNH",-3.21409911279428
"463","3HAO",-3.21409911279428
"464","PCLAD",-3.21409911279428
"465","AM6SAD",-3.21409911279428
"466","AMCOXO",-3.21409911279428
"467","2OXOADPTm",-3.21409911279428
"468","ExCystineGlu",-0.721208742724202
"469","ExCystineSer",0.950171439394924
"470","CystinePyruvate",-2.05197972196599
"471","CystineReductaseNADPH",-1.03534216606003
"472","CystineReductaseNADH",-3.09680991342829
"473","CystineGSH",2.17051511412957
"474","Ex3HB",0.415582199413554
"475","Transport3HB_forward",0.415582199413554
"476","bBDH",0.415582199413554
"477","OCOAT1m",0.415582199413554
"478","ACACT1m",-0.83704406529665
"479","G3PD1ir",0.392052941302379
"480","GLYC3Ptm",0.392052941302379
"481","G3PDm",0.392052941302379
"482","DHAPtm",0.392052941302379
"483","CMPuptake",-0.687795290206928
"484","UMPuptake",-2.01555867510004
"485","Transport_ala_B_c_e",1.00076572816272
"486","EX_ala_B",1.00076572816272
"487","Transport_octanoyl_ACP_c_e",NA
"488","EX_octanoyl_ACP",NA
"489","TMDK1",1.31848127192681
"490","THYMDt1",-1.31848127192681
"491","EX_thymd",1.31848127192681
"492","Transport_HC00576_c_e",-0.609341653244861
"493","EX_HC00576",-0.609341653244861
"494","Transport_4abut_c_e",-1.0887644891906
"495","EX_4abut",-1.0887644891906
