"","reactions","result"
"1","EX_lac__L_e",2.09569278246028
"2","EX_glc__D_e",-0.56577943995006
"3","EX_gluIN__L_e",0.737517535471915
"4","EX_gluOUT__L_e",0.0679789935643648
"5","EX_gln__L_e",0.28152218870062
"6","EX_asp__L_e",-0.897578982905626
"7","EX_co2_e",-0.0267613576707049
"8","EX_h_e",-0.231235403915351
"9","EX_h2o_e",1.86104365556963
"10","EX_ump_e",0.411043069211912
"11","EX_pi_e",-0.607728400487064
"12","EX_nh4_e",1.96367813153291
"13","EX_o2_e",-2.33711043381309
"14","EX_arg__L_e",1.3463043010617
"15","EX_pro__L_e",-1.04114099903724
"16","EX_leu__L_e",-0.434601789646196
"17","EX_ile__L_e",-0.515871544986032
"18","EX_met__L_e",-1.22664911557826
"19","EX_gly_e",1.85411334861801
"20","EX_phe__L_e",-0.744979175912358
"21","EX_ser__L_e",-1.73651868572141
"22","EX_ala__L_e",-3.67748849141349
"23","EX_ribflv_e",NA
"24","EX_asn__L_e",-0.126975141989079
"25","EX_fol_e",1.20838697273486
"26","EX_urea_e",-1.44145139519322
"27","EX_pyr_e",0.0410302271037279
"28","PYRt2",0.0410302271037279
"29","EX_gudac_e",-0.452579213186295
"30","EX_hdca_e",1.76930617767706
"31","EX_ptrcIN_e",0.254689979472137
"32","EX_ptrcOUT_e",-0.724587780471574
"33","EX_biomassx",0.515871517230476
"34","EX_h2o2_e",-0.689870260272118
"35","EX_gthox_e",1.37849340607066
"36","EX_2obut_e",-1.92462093696511
"37","EX_crn_e",-0.602492011484656
"38","EX_val__L_e",0.781481430547962
"39","EX_spmd_e",0.549579850189659
"40","EX_sprm_e",0.377128156577616
"41","EX_5mthf_e",-1.20838697273486
"42","EX_tmlys_e",0.602492011484656
"43","EX_thbpt_e",-0.890795451084148
"44","EX_CE2705_e",0.890795451084148
"45","EX_crtn_e",0.513769744261205
"46","EX_his__L_e",1.27165025450722
"47","EX_lys__L_e",1.57959993169672
"48","EX_carn_e",0.452668704934063
"49","EX_csn_e",0.61892908982287
"50","EX_cys__L_e",-1.54655997096858
"51","EX_cyan_e",1.9317592356284
"52","EX_tcyntc",-0.942253370290524
"53","EX_tcynt_e",-1.40027640649207
"54","EX_so3_e",-0.0462108719456141
"55","EX_thr__L_e",2.26760232657526
"56","EX_trp__L_e",0.0314993757020569
"57","EX_anth_e",-0.593749428957556
"58","EX_tyr__L_e",0.289364180712995
"59","EX_cystinex",0.0804552689928713
"60","EX_3hydroxybutanoatex",0.415764087644313
"61","EX_gthrd_e",-1.17181944412315
"62","EX_cmp_e",0.180266820597817
"63","HEX1",0.0561228974845327
"64","G6PP",-0.984962880189955
"65","PGI",0.565268112100077
"66","PFK",-2.10332734967813
"67","FBP",-2.93599431906889
"68","FBA",-0.286474158625024
"69","TPI",0.592431695692569
"70","GAPD",0.550260481682613
"71","PGK",1.0144210117143
"72","DPGM",-1.86401684933012
"73","DPGase",-1.86401684933012
"74","PGM",0.203125565548974
"75","ENO",0.203125565548974
"76","PYK",-0.531045924890542
"77","LDH_L",2.09569278246028
"78","r0407",0.685143388437413
"79","PRPPS",0.750679185669775
"80","G6PDH2r",-0.224705198536117
"81","PGL",-0.224705198536117
"82","GND",-0.224705198536117
"83","RPI",0.019581862601501
"84","TKT2",-0.38231865886584
"85","RPE",-0.382318660999084
"86","TKT1",-0.38231865886584
"87","TALA",-0.748235285412617
"88","r0408",0.685143388437413
"89","PDHm",1.42709481940116
"90","PCm",0.388675929665999
"91","PEPCK_re",-1.8101332992455
"92","CSm",-1.35006341254848
"93","ACONTm",2.0096532910637
"94","ICDHxm",1.19857268868404
"95","ICDHym",1.11192662120339
"96","AKGDm",0.656235245708218
"97","SUCOAS1m",-0.0186109224326523
"98","SUCD1m",-0.370318558467258
"99","FUMm",-0.291986516241849
"100","MDHm",-1.56654962337974
"101","ME1m",-1.79327442463382
"102","ME2m",1.06820481378791
"103","ME2",-1.26759203240912
"104","ACITL",0.0672013175355376
"105","FUM",-0.299316700034169
"106","MDH",1.12944436154257
"107","AKGMALtm",-1.73260054777673
"108","ACONT",-2.22009038818821
"109","ICDHyr",-2.22009038818821
"110","PPA",-2.21727450344458
"111","Complex1ROS",0.647712449222358
"112","FADH2ETC",-0.762018724087101
"113","CYOR_u10mi",-0.64838061683304
"114","CYOOm2i",-0.648380612923787
"115","ATPS4mi",-0.474768079342514
"116","GLUCYS",0.315756081457917
"117","GTHS",0.315756081457917
"118","SPODMm",0.647712455868814
"119","GTHPi",2.07087328301289
"120","GTHPm",1.21122087596622
"121","GDR",-2.09849052286973
"122","GTHOr",2.39359699690847
"123","GDRm",-2.2272663075951
"124","GTHOm",0.631205546543012
"125","r0885",1.37849339829052
"126","PYRt2m",0.24554429417276
"127","HMR_4964",-1.51092786081449
"128","r2420",-0.782637481851114
"129","ATPtm",-0.92148056221088
"130","FUMtm",-0.198652463447145
"131","CO2tm",-2.73624572648411
"132","O2tm",-0.664821555571143
"133","r0801",-0.0186109224326523
"134","THD1m",1.54015630832539
"135","H2Otm",-0.409423246177182
"136","NH4tm",-0.785206715085587
"137","HCO3E",0.0847559739728811
"138","HCO3Em",0.789985498396499
"139","GLUN",0.951530567112834
"140","GLNS",2.04713687075106
"141","GLUt2m",1.18459665971023
"142","GLNtm_1",0.071211707968503
"143","GLUNm",0.071211707968503
"144","GLUPRT",0.51587148497363
"145","PRAGSr",0.51587148497363
"146","GARFT",0.51587148497363
"147","PRFGS",0.51587148497363
"148","PRAIS",0.51587148497363
"149","AIRCr",0.51587148497363
"150","PRASCSi",0.51587148497363
"151","ADSL2r",0.51587148497363
"152","AICART",0.51587148497363
"153","IMPC",0.51587148497363
"154","ADSS",0.51587185251318
"155","ADSL1r",0.51587185251318
"156","IMPDH2",0.515871534790144
"157","GMPS",1.29678885756982
"158","GMPS2",-0.650116601482593
"159","GK1",0.515871534790144
"160","RNDR2",0.515871556017105
"161","ADK1",-2.21606666055349
"162","RNDR1",0.515870603491575
"163","CBPS",1.35888484183904
"164","ASPCT",1.35888484183904
"165","DHORTS",1.35888484183904
"166","DHORD9",1.35888484183904
"167","ORPT",1.35888484183904
"168","OMPDC",1.35888484183904
"169","UMPK",0.643472791533298
"170","RNDR4",0.39248900647764
"171","TMDS",0.39248900647764
"172","URIDK2r",0.39248900647764
"173","NDPK2",0.559275662822817
"174","NDPK3",0.36735261101448
"175","CYTK1",0.180266820597817
"176","CTPS1",0.910418242658333
"177","RNDR3",0.515871129736665
"178","GDHm",1.83023497014031
"179","GLUDym",1.41312386669095
"180","ASPTA",-1.83189710250208
"181","ASPTAm",-0.622358483240568
"182","ASPGLUm",-0.763565883924202
"183","ASPT",-0.442178085575684
"184","CBPSam",-0.278512980883851
"185","OCBTm",-0.278512980883851
"186","ORNt4m",-0.278512980883851
"187","ARGSS",-1.75571932194536
"188","ARGSL",-1.75571932194536
"189","ARGN",-1.44145139519322
"190","ORNDC",-1.36854435067704
"191","SPMS",0.643416827957396
"192","SPRMS",0.377128156577616
"193","ADMDC",0.667790138089406
"194","MTAP",0.667790138089406
"195","ADPT",0.667790138089406
"196","MTRI",0.667790138089406
"197","MDRPD",0.667790138089406
"198","DKMPPD",0.667790138089406
"199","SPMDtex2",0.549579850189659
"200","SPRMti",0.377128156577616
"201","GLYAMDTRc",-0.278941691112152
"202","ARGDr",-1.62048791989774
"203","r0074",1.05686230249504
"204","GLU5SAtmc",1.05686230249504
"205","G5SADs",1.05686230249504
"206","PRO1x",0.314528098127525
"207","P5CR",0.514552144159247
"208","PROD2",0.586798991690195
"209","EXRiboflavin",NA
"210","RBFK",NA
"211","FMNAT",NA
"212","TransportFAD",0.586798991690195
"213","ASNS1",-0.0398713362846386
"214","ASNN",-0.121405677330069
"215","METS",-1.68105922462267
"216","METAT",-0.0322056628693722
"217","HMR_3915",-0.615591479742071
"218","AHCi",-0.352768587710392
"219","ADNK1",-0.352768587710392
"220","CYSTS",1.2327886778875
"221","CYSTGL",1.2327886778875
"222","MTHFR3",-1.63108995436352
"223","MetSynthesis",0.132642921878459
"224","UNK3",0.91254085620391
"225","5MTHFt",-1.20838697273486
"226","ILETA",NA
"227","3MOPt2im",NA
"228","ILETAm",NA
"229","LEUTA",-0.840233162606003
"230","4MOPt2im",-0.840233162606003
"231","LEUTAm",0.109410379122425
"232","OIVD1m",-0.624988079742465
"233","ACOAD8m",-0.624988079742465
"234","MCCCrm",-0.624988079742465
"235","MGCHrm",-0.624988079742465
"236","HMGCOAtm",0.284455917133199
"237","VALTA",-0.739572908313752
"238","3MOBt2im",-0.739572908313752
"239","VALTAim",-0.213632358146056
"240","OIVD2m",-0.810142311186199
"241","ACOAD9m",-0.810142311186199
"242","ECOAH12m",-0.810142311186199
"243","3HBCOAHLm",-0.810142311186199
"244","HIBDm",-0.810142311186199
"245","r0643",-2.88592613867938
"246","MMSAD1m",1.34036249511703
"247","MMTSADm",-1.02149195334286
"248","PCC",1.3307800502408
"249","MMALH",-2.88592613867938
"250","MMEm",-0.365096775318398
"251","MMMm",-0.798754517289652
"252","ILEtmi",NA
"253","LEUt5m",0.109410379122425
"254","VALt5m",-0.213632358146056
"255","PGCD",0.662734069573636
"256","PSERT",0.662734069573636
"257","PSP_L",0.662734069573636
"258","GHMT2r",1.28515532649953
"259","SERD_L",0.637270276853767
"260","ALATA_L",-3.49081649134141
"261","r1435",0.682216031072398
"262","GLYtm",-0.682216031072398
"263","GHMT2rm",0.682216031072398
"264","MLTHFtm",-0.636355436819563
"265","r0962",0.636355436819563
"266","FORtm",0.175881003134461
"267","r0514",0.636355436819563
"268","DHFRim",0.636355436819563
"269","FTHFLmi",-0.175881003134461
"270","MTHFCm",-0.175881003134461
"271","MTHFDm",-0.175881003134461
"272","FOLR2",-2.71465702743222
"273","DHFR",-2.71870332139893
"274","FTHFLi",0.385754853382833
"275","FTHFDH",2.42450686371512
"276","MTHFC",-1.72584744687547
"277","MTHFD",-3.21686439736558
"278","MTHFD2i",2.28001319645786
"279","ACACT1r",-0.0888525988743306
"280","HMGCOAS",0.262284114934747
"281","HMGCOAR",0.515871364990458
"282","MEVK1",0.515871364990458
"283","PMEVK",0.515871364990458
"284","IPDDI",0.51587130805009
"285","DPMVD",0.515871364990458
"286","DMATT",0.51587130805009
"287","GRTT",0.51587130805009
"288","HMR_1465",0.515871269916044
"289","HMR_1467",0.515871269916044
"290","SMO",0.515871269916044
"291","LNSTLS",0.515871269916044
"292","HMR_1477",0.515871269916044
"293","HMR_1478",0.515871269916044
"294","HMR_1479",0.515871269916044
"295","C14STR",0.515871269916044
"296","HMR_1490",0.515871269916044
"297","HMR_1493",0.515871269916044
"298","HMR_1494",0.515871269916044
"299","C3STDH1",-0.3940257081842
"300","HMR_1495",1.15721285228388
"301","HMR_1500",0.515871269916044
"302","HMR_1502",0.515871269916044
"303","HMR_1503",0.515871269916044
"304","HMR_1504",0.515871269916044
"305","HMR_1505",0.515871269916044
"306","HMR_1509",0.515871269916044
"307","CHLSTI_1",0.515871269916044
"308","HMR_1516",0.515871269916044
"309","RE2410C",0.515871269916044
"310","DSMSTOLR",0.515871269916044
"311","ACCOAC",0.0610899414896112
"312","FASN",0.061089925098971
"313","MCAT",0.0610899414896112
"314","AcetoacetylACPsynthesis",0.061089925098971
"315","r0691",0.061089925098971
"316","r0681",0.061089925098971
"317","r0682",0.061089925098971
"318","r0760",0.061089925098971
"319","r0761",0.061089925098971
"320","r0762",0.061089925098971
"321","r0763",0.061089925098971
"322","r0764",0.061089925098971
"323","r0694",0.061089925098971
"324","r0695",0.061089925098971
"325","r0765",0.061089925098971
"326","r0766",0.061089925098971
"327","r0692",0.061089925098971
"328","r0693",0.061089925098971
"329","r0767",0.061089925098971
"330","r0768",0.061089925098971
"331","r0769",0.061089925098971
"332","r0770",0.061089925098971
"333","r0712",0.061089925098971
"334","r0713",0.061089925098971
"335","r0701",0.061089925098971
"336","r0702",0.061089925098971
"337","r0771",0.061089925098971
"338","r0772",0.061089925098971
"339","r0696",0.061089925098971
"340","r0697",0.061089925098971
"341","r0773",0.061089925098971
"342","FA160ACPH",0.061089925098971
"343","TMLYStd",0.602492011484656
"344","TMLYSOX",-0.602492011484656
"345","GHMT3",-0.602492011484656
"346","TMABADH",-0.602492011484656
"347","BBHOX",-0.602492011484656
"348","SUCFUMtm",0.602492021866854
"349","palmitateActivation",-2.7439445775899
"350","carnitineAcylTransferaseI",-2.7439445775899
"351","CARN160t_m",-2.7439445775899
"352","carnitineAcylTransferaseII",-2.7439445775899
"353","betaOxidation",-2.7439445775899
"354","Biomass",0.515871517230476
"355","GLCt1",-0.56577943995006
"356","O2t",-2.33711043381309
"357","GLNt",0.28152218870062
"358","r0963",1.20838697273486
"359","THBPTt",-0.890795451084148
"360","ARGt5r",1.3463043010617
"361","PHEtec",-0.744979175912358
"362","ILEtec",-0.515871544986032
"363","LEUtec",-0.434601789646196
"364","VALtec",0.781481430547962
"365","METtec",-1.22664911557826
"366","r2526",-2.01872619437983
"367","GLYt4",1.85411334861801
"368","r2532",0.126975141989079
"369","PROPAT4te",1.04114099903724
"370","HDCAt",-2.18952309409513
"371","CRNt",-0.602492011484656
"372","GTHRDt2",-1.17181944412315
"373","DmLact",2.09569278246028
"374","UREAt",-1.44145139519322
"375","DmBiomass",0.515871517230476
"376","NH4t",1.96367813153291
"377","PTRCtex2",-2.95029196712795
"378","GUDACtr2",-0.452579213186295
"379","CE2705t",0.890795451084148
"380","Dm2oxobutyrate",-1.92462093696511
"381","H2Ot",-1.86104365556963
"382","PHLACHt",-0.411581404489904
"383","CO2t",-0.0267613576707049
"384","DmH2O2",-0.689870260272118
"385","DmGSSG",1.37849340607066
"386","GLUt4",-1.2968181425939
"387","ALAPAT4te",1.90699558627782
"388","DmAla",-0.158760745995685
"389","ASPte",-0.121355485304191
"390","DmAsp",0.304986183991838
"391","DmPalm",-2.12384492166422
"392","ATPM",1.22012991661633
"393","GACMTRc",0.513769744261205
"394","CKc_cho",0.513769744261205
"395","CRTNsyn_cho",0.513769744261205
"396","CRTNtr",0.513769744261205
"397","NDPK1",-2.89216331576925
"398","NDPK5",0.515871556017105
"399","NDPK8",0.515870603491575
"400","NDPK7",0.515871129736665
"401","DTMPK",0.51587114445057
"402","NDPK4",0.51587114445057
"403","HIStiDF",1.27165025450722
"404","PTRCOX1",2.07087328301289
"405","ABUTD",2.07087328301289
"406","r0465_1",-1.44054295592599
"407","ABUTH",-1.09546389775471
"408","GLUDC",0.371980231770297
"409","HISDr",-1.2874998489375
"410","URCN",-1.2874998489375
"411","IZPN",-1.2874998489375
"412","GluForTx",-1.2874998489375
"413","FTCD",-1.2874998489375
"414","CARPEPT1tc",0.452668704934063
"415","NBAHH_ir",-1.28396230587971
"416","r0283",-1.05361455198192
"417","ASP1DC",1.03236473109627
"418","CSNt",0.61892908982287
"419","bAlaSynthesis",-0.61892908982287
"420","LYSt5r",1.57959993169672
"421","LYStm",-1.78521509439602
"422","SACCD3m",-1.78521509439602
"423","r0525",-1.78521509439602
"424","AASAD3m",-1.78521509439602
"425","r0450",-1.78521509439602
"426","2OXOADOXm",-0.125088005077343
"427","GLUTCOADHm",-0.125088005077343
"428","3HBCDm",-0.125088005077343
"429","HACD1m",-0.125088005077343
"430","HMGCOASm",0.828525674559965
"431","CYStec",1.54655997096858
"432","CYSTA",-1.9317592356284
"433","CYANt",1.9317592356284
"434","MCPST",-1.9317592356284
"435","TCYNTt",-1.40027640649207
"436","CYSO",-0.0462108719456141
"437","3SALATAi",-0.657907362018213
"438","3SALAASPm",0.484928296707805
"439","3SALATAim",0.484928296707805
"440","3SPYRSP",-0.657907362018213
"441","3SPYRSPm",0.484928296707805
"442","HMR_3951",-0.657907362018213
"443","ExSulfitem",0.484928296707805
"444","PHETHPTOX2",0.890795451084148
"445","TYRt",0.289364180712995
"446","TYRTA",0.335273150753643
"447","34HPPOR",0.335273150753643
"448","HGNTOR",0.335273150753643
"449","MACACI",0.335273150753643
"450","FUMAC",0.335273150753643
"451","AACOAT",0.335273150753643
"452","r2534",2.26760232657526
"453","THRD_L",-2.26902413087495
"454","OBDHc",0.284455917133199
"455","PPCOAtm",0.284455917133199
"456","r1616",0.0314993757020569
"457","TRPO2",-0.0326445476724535
"458","FKYNH",-0.0326445476724535
"459","KYN",-0.593749428957556
"460","ANTHte",-0.593749428957556
"461","KYN3OX",1.49889580932717
"462","HKYNH",1.49889580932717
"463","3HAO",1.49889580932717
"464","PCLAD",1.49889580932717
"465","AM6SAD",1.49889580932717
"466","AMCOXO",1.49889580932717
"467","2OXOADPTm",1.49889580932717
"468","ExCystineGlu",-2.19599751815425
"469","ExCystineSer",1.47689528652703
"470","CystinePyruvate",2.23430480430362
"471","CystineReductaseNADPH",-0.682501925515304
"472","CystineReductaseNADH",-0.751322254244118
"473","CystineGSH",-0.618234431820818
"474","Ex3HB",-0.415764087644313
"475","Transport3HB_forward",-0.415764087644313
"476","bBDH",-0.415764087644313
"477","OCOAT1m",-0.415764087644313
"478","ACACT1m",-0.451188994581762
"479","G3PD1ir",0.340155982735926
"480","GLYC3Ptm",0.340155982735926
"481","G3PDm",0.340155982735926
"482","DHAPtm",0.340155982735926
"483","CMPuptake",0.180266820597817
"484","UMPuptake",0.411043069211912
"485","Transport_ala_B_c_e",0.867727490924592
"486","EX_ala_B",0.867727490924592
"487","Transport_octanoyl_ACP_c_e",NA
"488","EX_octanoyl_ACP",NA
"489","TMDK1",0.32918655063295
"490","THYMDt1",-0.32918655063295
"491","EX_thymd",0.32918655063295
"492","Transport_HC00576_c_e",-0.921001272372348
"493","EX_HC00576",-0.921001272372348
"494","Transport_4abut_c_e",2.68413261912365
"495","EX_4abut",2.68413261912365
